Date,Type,residence,Positive,Negative,Total_Tests,Positive_Rate,Year,Month,Weekday
2021-01-09,Students,Students - Residential,1,7,8,12.5,2021,1,Saturday
2021-01-10,Faculty/Staff,Non-Residential,1,36,37,2.7,2021,1,Sunday
2021-01-10,Students,Students - Non-Residential,2,69,71,2.82,2021,1,Sunday
2021-01-10,Students,Students - Residential,1,24,25,4.0,2021,1,Sunday
2021-01-11,Faculty/Staff,Non-Residential,5,164,169,2.96,2021,1,Monday
2021-01-11,Students,Students - Non-Residential,5,411,416,1.2,2021,1,Monday
2021-01-11,Students,Students - Residential,1,23,24,4.17,2021,1,Monday
2021-01-12,Faculty/Staff,Non-Residential,5,68,73,6.85,2021,1,Tuesday
2021-01-12,Students,Students - Non-Residential,3,125,128,2.34,2021,1,Tuesday
2021-01-12,Students,Students - Residential,0,59,59,0.0,2021,1,Tuesday
2021-01-13,Faculty/Staff,Non-Residential,2,129,131,1.53,2021,1,Wednesday
2021-01-13,Students,Students - Non-Residential,5,358,363,1.38,2021,1,Wednesday
2021-01-13,Students,Students - Residential,0,49,49,0.0,2021,1,Wednesday
2021-01-14,Faculty/Staff,Non-Residential,10,86,96,10.42,2021,1,Thursday
2021-01-14,Students,Students - Non-Residential,1,126,127,0.79,2021,1,Thursday
2021-01-14,Students,Students - Residential,1,40,41,2.44,2021,1,Thursday
2021-01-15,Faculty/Staff,Non-Residential,3,61,64,4.69,2021,1,Friday
2021-01-15,Students,Students - Non-Residential,1,107,108,0.93,2021,1,Friday
2021-01-15,Students,Students - Residential,0,36,36,0.0,2021,1,Friday
2021-01-16,Faculty/Staff,Non-Residential,0,4,4,0.0,2021,1,Saturday
2021-01-16,Students,Students - Non-Residential,1,39,40,2.5,2021,1,Saturday
2021-01-16,Students,Students - Residential,3,104,107,2.8,2021,1,Saturday
2021-01-17,Faculty/Staff,Non-Residential,1,35,36,2.78,2021,1,Sunday
2021-01-17,Students,Students - Non-Residential,2,43,45,4.44,2021,1,Sunday
2021-01-17,Students,Students - Residential,0,25,25,0.0,2021,1,Sunday
2021-01-18,Faculty/Staff,Non-Residential,4,70,74,5.41,2021,1,Monday
2021-01-18,Students,Students - Non-Residential,5,154,159,3.14,2021,1,Monday
2021-01-18,Students,Students - Residential,1,93,94,1.06,2021,1,Monday
2021-01-19,Faculty/Staff,Non-Residential,8,115,123,6.5,2021,1,Tuesday
